Year;State;popless72months;confirmedBLL
1997;Alabama;357087.0;0.0656
1998;Alabama;352409.0;0.0554
1999;Alabama;349592.0;0.0311
2000;Alabama;356676.0;0.023
2001;Alabama;357111.0;0.053
2002;Alabama;357111.0;0.0202
2003;Alabama;355715.0;0.0236
2004;Alabama;357382.0;0.0288
2005;Alabama;360396.0;0.0137
2006;Alabama;365075.0;0.0107944056819248
2007;Alabama;370240.0;0.0073844296857714705
2008;Alabama;374378.0;0.00620309403166175
2009;Alabama;377117.0;0.0105
2010;Alabama;365443.0;0.0071
2011;Alabama;363869.0;0.005324623081833121
2012;Alabama;360597.0;0.00739283766597509
2013;Alabama;356565.0;0.0040106503292918205
2014;Alabama;355222.0;0.00520321214571595
2015;Alabama;354230.0;0.00463345274329186
1997;Arizona;437505.0;
1998;Arizona;451607.0;
1999;Arizona;462341.0;0.0871
2000;Arizona;459141.0;0.025
2001;Arizona;463085.0;0.0212
2002;Arizona;463085.0;0.0189
2003;Arizona;506655.0;0.3248
2004;Arizona;526883.0;0.0377
2005;Arizona;553123.0;0.0061
2006;Arizona;587953.0;0.00395273107092387
2007;Arizona;605565.0;0.00240533007308841
2008;Arizona;616345.0;0.00250226352363825
2009;Arizona;619403.0;0.0023
2010;Arizona;546609.0;0.0023
2011;Arizona;534113.0;0.00126822059974074
2012;Arizona;527769.0;0.00164326513186097
2013;Arizona;522392.0;0.00129117642063648
2014;Arizona;521060.0;0.0013245287118479599
2015;Arizona;521310.0;0.0019434293499216398
1997;California;3204502.0;0.1833
1998;California;3104123.0;0.1566
1999;California;3029049.0;0.1541
2000;California;3018386.0;0.1161
2001;California;3034623.0;0.0932
2002;California;3034623.0;0.0717
2003;California;3034623.0;0.011000000000000001
2004;California;3034623.0;0.0074
2005;California;3159667.0;0.011000000000000001
2006;California;3191914.0;0.0108582944817801
2007;California;3209321.0;0.0039763590320944795
2008;California;3252643.0;0.00266499444842339
2009;California;3284693.0;0.00218051625415683
2010;California;3036508.0;0.00205528899095952
2011;California;3037143.0;0.00204458110965788
2012;California;3023709.0;
2013;California;3011879.0;
2014;LA County only;3014451.0;0.0025
2015;LA County only;3017125.0;0.0082
1997;Colorado;331728.0;0.0355
1998;Colorado;339604.0;0.0301
1999;Colorado;345246.0;0.0267
2000;Colorado;359123.0;0.017
2001;Colorado;370914.0;0.0126
2002;Colorado;370914.0;
2003;Colorado;370914.0;
2004;Colorado;370914.0;
2005;Colorado;370914.0;
2006;Colorado;413949.0;
2007;Colorado;413949.0;
2008;Colorado;413949.0;
2009;Colorado;413949.0;
2010;Colorado;413949.0;
2011;Colorado;411855.0;
2012;Colorado;408722.0;
2013;Colorado;405810.0;
2014;Colorado;405720.0;0.00169133185409009
2015;Colorado;406769.0;
1997;Connecticut;260336.0;0.0133
1998;Connecticut;261163.0;0.0397
1999;Connecticut;263845.0;0.0328
2000;Connecticut;270187.0;0.0367
2001;Connecticut;270763.0;0.03
2002;Connecticut;270763.0;0.026000000000000002
2003;Connecticut;261945.0;0.0229
2004;Connecticut;260760.0;0.0218
2005;Connecticut;257471.0;0.0189
2006;Connecticut;257952.0;0.0166074386600784
2007;Connecticut;256698.0;0.0147302197292447
2008;Connecticut;255423.0;0.0144636044278741
2009;Connecticut;253975.0;0.00917763262987137
2010;Connecticut;245428.0;0.00952808652073145
2011;Connecticut;241912.0;0.00927958078682423
2012;Connecticut;237873.0;0.00715121207758784
2013;Connecticut;233754.0;0.0180386416614056
2014;Connecticut;231071.0;0.00692923413589597
2015;Connecticut;228774.0;0.00813965313136578
1997;Delaware;59811.0;0.5357
1998;Delaware;59695.0;0.0276
1999;Delaware;60211.0;0.0237
2000;Delaware;62122.0;0.0239
2001;Delaware;62380.0;0.0175
2002;Delaware;62380.0;0.0194
2003;Delaware;64227.0;0.0272
2004;Delaware;65448.0;0.018000000000000002
2005;Delaware;67121.0;0.0046
2006;Delaware;68824.0;0.00712324064538277
2007;Delaware;69852.0;0.00202298117801547
2008;Delaware;71068.0;0.0027985842898488
2009;Delaware;71257.0;0.00375344068743289
2010;Delaware;67146.0;0.00543478270992637
2011;Delaware;67184.0;0.00521788978949189
2012;Delaware;67317.0;0.0036481956485658897
2013;Delaware;67096.0;0.00345588242635131
2014;Delaware;67153.0;0.0033010405022651
2015;Delaware;67120.0;0.00413927435874939
1997;District of Columbia;39660.0;0.7158
1998;District of Columbia;35348.0;0.033
1999;District of Columbia;33320.0;0.0183
2000;District of Columbia;39326.0;0.0125
2001;District of Columbia;39356.0;0.0097
2002;District of Columbia;39356.0;0.0077
2003;District of Columbia;39298.0;0.0209
2004;District of Columbia;39661.0;0.0179
2005;District of Columbia;40625.0;0.0125
2006;District of Columbia;41370.0;0.0136297875580599
2007;District of Columbia;41644.0;0.00757757062092423
2008;District of Columbia;42844.0;0.006527611054480079
2009;District of Columbia;44063.0;0.00699137710034847
2010;District of Columbia;38156.0;
2011;District of Columbia;41563.0;
2012;District of Columbia;44439.0;
2013;District of Columbia;46892.0;
2014;District of Columbia;48854.0;0.00304785137996078
2015;District of Columbia;49926.0;
1997;Florida;1152887.0;0.0605
1998;Florida;1154343.0;0.0635
1999;Florida;1149495.0;0.0439
2000;Florida;1142293.0;0.0158
2001;Florida;1149277.0;0.0101
2002;Florida;1149277.0;0.0117
2003;Florida;1221742.0;0.0073
2004;Florida;1260302.0;0.0049
2005;Florida;1305410.0;0.0028
2006;Florida;1366028.0;0.00237677056299753
2007;Florida;1380861.0;0.005311659071594479
2008;Florida;1387027.0;0.00222093658521771
2009;Florida;1391397.0;0.0012399565894156699
2010;Florida;1288261.0;0.00195672595873475
2011;Florida;1291271.0;0.00128095143008977
2012;Florida;1295134.0;0.00172148016281426
2013;Florida;1296695.0;
2014;Florida;1310642.0;
2015;Florida;1328284.0;
1997;Georgia;673948.0;
1998;Georgia;685213.0;0.0198
1999;Georgia;694317.0;0.0249
2000;Georgia;714090.0;0.0169
2001;Georgia;718870.0;0.0128
2002;Georgia;718870.0;0.0088
2003;Georgia;781188.0;0.0071
2004;Georgia;803602.0;0.0047
2005;Georgia;828572.0;0.0033
2006;Georgia;862800.0;0.0028483335780355302
2007;Georgia;882924.0;0.00265063159167767
2008;Georgia;894961.0;0.00230375328101218
2009;Georgia;900315.0;0.0023
2010;Georgia;825000.0;0.0019
2011;Georgia;819058.0;0.00231516570784152
2012;Georgia;812675.0;0.0020273255649954102
2013;Georgia;804603.0;0.00196816376410425
2014;Georgia;802436.0;0.00149174325633794
2015;Georgia;801068.0;0.00117609661538154
1997;Illinois;1089142.0;0.1752
1998;Illinois;1071765.0;0.1459
1999;Illinois;1061071.0;0.1133
2000;Illinois;1059514.0;0.0941
2001;Illinois;1061668.0;0.0789
2002;Illinois;1061668.0;0.0637
2003;Illinois;1054254.0;0.0768
2004;Illinois;1057879.0;0.0633
2005;Illinois;1059707.0;0.0498
2006;Illinois;1068210.0;0.0361928098199724
2007;Illinois;1065273.0;0.0314828641712666
2008;Illinois;1068806.0;0.0214321035891771
2009;Illinois;1073254.0;0.018000000000000002
2010;Illinois;1005860.0;0.0144740957766771
2011;Illinois;994484.0;0.0117992386221886
2012;Illinois;981636.0;0.0128987664356828
2013;Illinois;967588.0;0.0107953101396561
2014;Illinois;957585.0;0.0107079613953829
2015;Illinois;947170.0;0.0114277536049485
1997;Indiana;494918.0;0.0312
1998;Indiana;495192.0;0.0276
1999;Indiana;497865.0;0.028999999999999998
2000;Indiana;508845.0;0.0224
2001;Indiana;509812.0;0.0218
2002;Indiana;509812.0;0.0208
2003;Indiana;512422.0;0.0163
2004;Indiana;515932.0;0.0137
2005;Indiana;518957.0;0.0128
2006;Indiana;525656.0;0.011676815870425
2007;Indiana;528055.0;0.010447708889842
2008;Indiana;532593.0;0.0103286225348711
2009;Indiana;534603.0;0.0093
2010;Indiana;522074.0;0.0075
2011;Indiana;517361.0;0.0067
2012;Indiana;512051.0;0.0066
2013;Indiana;509391.0;0.00578011712059379
2014;Indiana;507787.0;0.00537493452429771
2015;Indiana;507139.0;0.00848405715078115
1997;Iowa;220872.0;0.0561
1998;Iowa;220543.0;0.0495
1999;Iowa;220379.0;0.0381
2000;Iowa;227062.0;0.0351
2001;Iowa;227171.0;0.0289
2002;Iowa;227171.0;0.0267
2003;Iowa;225878.0;0.0241
2004;Iowa;226981.0;0.022000000000000002
2005;Iowa;228461.0;0.02
2006;Iowa;233178.0;0.0166508914601402
2007;Iowa;236289.0;0.0118152527138591
2008;Iowa;240215.0;0.00804498419165611
2009;Iowa;242913.0;0.00773460092023015
2010;Iowa;242345.0;0.00685314880684018
2011;Iowa;239838.0;0.00655497005209327
2012;Iowa;238018.0;0.0069619701243937
2013;Iowa;237098.0;
2014;Iowa;237630.0;
2015;Iowa;237898.0;
1997;Kansas;217762.0;0.0833
1998;Kansas;219444.0;0.0204
1999;Kansas;220941.0;0.0559
2000;Kansas;226862.0;0.0306
2001;Kansas;227151.0;0.0301
2002;Kansas;227151.0;0.0227
2003;Kansas;229896.0;0.0139
2004;Kansas;230947.0;0.011000000000000001
2005;Kansas;231787.0;0.0144
2006;Kansas;234045.0;0.0113512333551626
2007;Kansas;238051.0;0.00948817282915115
2008;Kansas;241491.0;0.00736215524375439
2009;Kansas;244723.0;0.0067710787989199205
2010;Kansas;246178.0;0.006063268985599279
2011;Kansas;244879.0;0.0068402215838432295
2012;Kansas;243692.0;0.00623245816677809
2013;Kansas;241530.0;
2014;Kansas;239674.0;
2015;Kansas;238000.0;
1997;Kentucky;316998.0;
1998;Kentucky;314074.0;
1999;Kentucky;311757.0;
2000;Kentucky;320380.0;0.0089
2001;Kentucky;320916.0;0.013000000000000001
2002;Kentucky;320916.0;0.0111
2003;Kentucky;324521.0;0.0067
2004;Kentucky;326351.0;0.006999999999999999
2005;Kentucky;329379.0;0.0083
2006;Kentucky;334939.0;0.00500710885825555
2007;Kentucky;338732.0;0.0036758955102413897
2008;Kentucky;343261.0;0.0044140741229057295
2009;Kentucky;344443.0;0.0027
2010;Kentucky;338977.0;0.0062
2011;Kentucky;337320.0;0.00437232339754701
2012;Kentucky;334729.0;0.00857100635766983
2013;Kentucky;333338.0;0.00519303046166897
2014;Kentucky;333243.0;0.0036751457955688203
2015;Kentucky;333383.0;0.0036949950736016
1997;Louisiana;;
1998;Louisiana;379751.0;0.023782804608345
1999;Louisiana;378280.0;0.0319636799395084
2000;Louisiana;380455.0;0.0332088954746723
2001;Louisiana;378831.0;0.0238652210682631
2002;Louisiana;379911.0;0.0192602165043354
2003;Louisiana;382166.0;0.0159239806234837
2004;Louisiana;383774.0;0.0136727206408978
2005;Louisiana;385131.0;0.0100545873865485
2006;Louisiana;348354.0;0.00481072413109674
2007;Louisiana;366923.0;0.00373974756703922
2008;Louisiana;378222.0;0.004725098609924321
2009;Louisiana;382744.0;0.00467048538848758
2010;Louisiana;375722.0;0.00248686014674604
2011;Louisiana;375267.0;0.06434316188097
2012;Louisiana;373249.0;0.104838706552982
2013;Louisiana;371434.0;0.0184414032846689
2014;Louisiana;372000.0;0.0067844744771719
2015;Louisiana;373355.0;0.00801505893468857
1997;Maine;84280.0;0.0396
1998;Maine;82130.0;0.0397
1999;Maine;81394.0;0.035
2000;Maine;85915.0;0.0327
2001;Maine;86075.0;0.0287
2002;Maine;86075.0;0.0203
2003;Maine;85014.0;0.0174
2004;Maine;85370.0;0.021
2005;Maine;85311.0;0.0199
2006;Maine;85950.0;0.0178571428571429
2007;Maine;86034.0;0.0143284862861037
2008;Maine;85994.0;0.0139531577005982
2009;Maine;85245.0;0.0114376610144973
2010;Maine;84268.0;0.0108241261914372
2011;Maine;82289.0;0.009311653673648829
2012;Maine;81054.0;
2013;Maine;79994.0;
2014;Maine;79276.0;
2015;Maine;78691.0;
1997;Maryland;422725.0;0.8809999999999999
1998;Maryland;418567.0;0.8744
1999;Maryland;418912.0;0.6995
2000;Maryland;427939.0;0.0538
2001;Maryland;429749.0;0.0424
2002;Maryland;429749.0;0.0269
2003;Maryland;435561.0;0.02
2004;Maryland;441016.0;0.015
2005;Maryland;443545.0;0.0121
2006;Maryland;450269.0;0.010932407263697
2007;Maryland;450695.0;0.00785850919783115
2008;Maryland;452413.0;0.00661354651674628
2009;Maryland;455586.0;0.005
2010;Maryland;437188.0;0.0044
2011;Maryland;441219.0;0.003957556094974279
2012;Maryland;441829.0;0.00310528255067766
2013;Maryland;441661.0;0.00323340273462236
2014;Maryland;443801.0;0.00299755251035094
2015;Maryland;443976.0;0.00329923816025257
1997;Massachusetts;480892.0;0.0323
1998;Massachusetts;474905.0;0.0233
1999;Massachusetts;473447.0;0.0203
2000;Massachusetts;480422.0;0.017
2001;Massachusetts;481406.0;0.0148
2002;Massachusetts;481406.0;0.0132
2003;Massachusetts;471344.0;0.0094
2004;Massachusetts;466766.0;0.0105
2005;Massachusetts;462406.0;0.0092
2006;Massachusetts;464771.0;0.00836216712903325
2007;Massachusetts;461558.0;0.00693278666585684
2008;Massachusetts;461954.0;0.00541520211845636
2009;Massachusetts;463357.0;0.0043
2010;Massachusetts;442592.0;0.0044
2011;Massachusetts;443672.0;0.0035215320531278797
2012;Massachusetts;442240.0;0.0035823034122586203
2013;Massachusetts;440766.0;0.00324495113454759
2014;Massachusetts;441043.0;0.0037025855854153603
2015;Massachusetts;441370.0;0.00333181512542069
1997;Michigan;896282.0;0.1706
1998;Michigan;884174.0;0.1101
1999;Michigan;882427.0;0.0797
2000;Michigan;907361.0;0.0597
2001;Michigan;908908.0;0.0592
2002;Michigan;908908.0;0.048
2003;Michigan;792548.0;0.0345
2004;Michigan;787762.0;0.0273
2005;Michigan;779772.0;0.0263
2006;Michigan;774814.0;0.0183960701269142
2007;Michigan;760435.0;0.0148473531007767
2008;Michigan;749457.0;0.0120919784530997
2009;Michigan;742424.0;0.00943859852850437
2010;Michigan;720314.0;0.00792780611664057
2011;Michigan;710982.0;0.0063276132568717
2012;Michigan;702118.0;0.0052824723534286
2013;Michigan;696073.0;0.00387901649810374
2014;Michigan;693605.0;0.00457170000299811
2015;Michigan;691424.0;0.00487221125513315
1997;Minnesota;383055.0;0.05
1998;Minnesota;384854.0;0.0435
1999;Minnesota;387695.0;0.0331
2000;Minnesota;397581.0;0.0247
2001;Minnesota;398895.0;0.0229
2002;Minnesota;398895.0;0.0163
2003;Minnesota;401030.0;0.0131
2004;Minnesota;405815.0;0.0096
2005;Minnesota;409634.0;0.0085
2006;Minnesota;419902.0;0.0071567383892102
2007;Minnesota;425916.0;0.0059767016209662
2008;Minnesota;431859.0;0.00421206280589104
2009;Minnesota;435423.0;0.0038
2010;Minnesota;427426.0;0.0031
2011;Minnesota;424728.0;0.00285567925311625
2012;Minnesota;421794.0;0.00284495018422604
2013;Minnesota;420726.0;0.0021339589729905102
2014;Minnesota;421820.0;0.00246966234408319
2015;Minnesota;422572.0;0.00245929649099708
1997;Mississippi;245690.0;0.9541
1998;Mississippi;243965.0;0.5449
1999;Mississippi;243619.0;0.0965
2000;Mississippi;246122.0;0.0152
2001;Mississippi;246449.0;0.0259
2002;Mississippi;246449.0;0.02
2003;Mississippi;247510.0;0.0141
2004;Mississippi;250336.0;0.0099
2005;Mississippi;252735.0;0.0094
2006;Mississippi;252907.0;0.008604897801774009
2007;Mississippi;258738.0;0.00596530688926578
2008;Mississippi;263140.0;0.00481773307546973
2009;Mississippi;265500.0;0.0046
2010;Mississippi;252345.0;0.0039
2011;Mississippi;247977.0;0.0038020983338356
2012;Mississippi;243538.0;0.0037301178090274295
2013;Mississippi;238636.0;0.00288044987246394
2014;Mississippi;235823.0;0.0024520440492779
2015;Mississippi;234118.0;0.00245624082162976
1997;Missouri;443042.0;0.1212
1998;Missouri;438960.0;0.1135
1999;Missouri;437313.0;0.0977
2000;Missouri;445566.0;0.0868
2001;Missouri;446404.0;0.0515
2002;Missouri;446404.0;0.0426
2003;Missouri;450001.0;0.0381
2004;Missouri;453524.0;0.0257
